회차,날짜,당첨번호1,당첨번호2,당첨번호3,당첨번호4,당첨번호5,당첨번호6,보너스번호
1,2002.12.07,10,23,29,33,37,40,16
2,2002.12.14,9,13,21,25,32,42,2
3,2002.12.21,11,16,19,21,27,31,30
4,2002.12.28,14,27,30,31,40,42,2
5,2003.01.04,16,24,29,40,41,42,3
6,2003.01.11,14,15,26,27,40,42,34
7,2003.01.18,2,9,16,25,26,40,42
8,2003.01.25,8,19,25,34,37,39,9
9,2003.02.01,2,4,16,17,36,39,14
10,2003.02.08,3,12,17,32,38,44,40
600,2014.05.31,5,11,14,27,29,36,44
599,2014.05.24,5,12,17,29,34,35,27
598,2014.05.17,4,12,24,33,38,45,22
597,2014.05.10,8,10,23,24,35,43,37
596,2014.05.03,3,4,12,14,25,43,17
595,2014.04.26,8,24,28,35,38,40,5
594,2014.04.19,2,8,13,25,28,37,3
593,2014.04.12,9,10,13,24,33,38,28
592,2014.04.05,2,5,6,13,28,44,43
591,2014.03.29,8,13,14,30,38,39,5
590,2014.03.22,20,30,36,38,41,45,23
589,2014.03.15,6,8,28,33,38,39,22
588,2014.03.08,2,8,15,22,25,41,30
587,2014.03.01,14,21,29,31,32,37,17
586,2014.02.22,2,7,12,15,21,34,5
585,2014.02.15,6,7,10,16,38,41,4
584,2014.02.08,7,18,30,39,40,41,36
583,2014.02.01,8,17,27,33,40,44,24
582,2014.01.25,2,12,14,33,40,41,25
581,2014.01.18,3,5,14,20,42,44,33
580,2014.01.11,5,7,9,11,32,35,33
579,2014.01.04,5,7,20,22,37,42,39
1100,2023.12.30,1,5,7,16,20,42,6
1101,2024.01.06,12,18,21,25,27,31,30
1102,2024.01.13,6,10,18,26,33,44,22
1103,2024.01.20,16,24,29,40,42,44,3
1104,2024.01.27,1,11,16,17,32,44,45
1105,2024.02.03,9,16,17,20,24,34,19
1106,2024.02.10,2,8,19,25,30,44,35
1107,2024.02.17,6,12,16,21,36,45,15
1108,2024.02.24,15,17,19,21,36,37,35
1109,2024.03.02,7,8,11,18,28,45,38
1110,2024.03.09,3,6,18,20,21,24,4
1111,2024.03.16,1,7,12,20,25,42,13
1112,2024.03.23,14,16,25,32,38,39,12
1113,2024.03.30,2,3,17,27,28,44,26
1114,2024.04.06,5,8,25,30,36,42,9
1115,2024.04.13,18,19,23,30,39,44,4
1116,2024.04.20,2,4,5,25,37,42,17
1117,2024.04.27,7,10,22,25,34,39,31
1118,2024.05.04,6,10,15,28,34,42,18
1119,2024.05.11,1,6,17,22,24,31,30
1120,2024.05.18,2,14,17,32,37,39,27
1121,2024.05.25,3,9,12,20,33,37,16
1122,2024.06.01,5,12,13,24,30,33,35
1123,2024.06.08,10,17,26,34,35,43,2
1124,2024.06.15,8,15,32,34,41,42,1
1125,2024.06.22,18,19,31,34,39,44,33
1126,2024.06.29,2,6,12,23,32,36,13
1127,2024.07.06,1,8,11,31,40,42,17
1128,2024.07.13,2,8,23,25,30,32,31
1129,2024.07.20,6,8,19,27,28,45,44
1130,2024.07.27,3,6,18,20,30,35,12
1131,2024.08.03,5,9,13,15,21,33,2
1132,2024.08.10,11,14,21,25,32,43,24
1133,2024.08.17,2,15,16,17,35,38,45
1134,2024.08.24,7,10,16,18,35,36,30
1135,2024.08.31,1,9,14,21,22,35,45
